札番号,単語数,単語リスト
1,20,あきの/秋の/秋の田/田の/の田の/あき/のた/のたの/たの/かり/かりほ/庵の/の庵の/ほの/いほ/いほの/りほの/苫を/苫をあ/らみ
2,20,はるす/春過/春過ぎ/ぎて/過ぎて/はる/すぎ/すぎて/夏来/夏来に/らし/けらし/なつ/きに/けら/つきに/白妙/白妙の/妙の/しろ
3,20,あし/あしび/きの/びきの/びき/山鳥/山鳥の/尾の/の尾の/やま/どり/のを/のをの/まどり/をの/しだ/しだり/り尾の/りを/りをの
4,20,たご/田子/田子の/浦に/の浦に/のう/うらに/らに/うち/うち出/れば/見れば/いで/てみ/みれば/ちいで/白妙/白妙の/妙の/しろ
5,20,おく/奥山/奥山に/山に/やま/やまに/まに/紅葉/紅葉踏/分け/み分け/もみ/ぢふ/みわ/みわけ/みぢふ/わけ/鳴く/鳴く鹿/鹿の
6,20,かさ/鵲の/さぎ/さぎの/ぎの/渡せ/渡せる/橋に/る橋に/わた/せる/はし/はしに/たせる/しに/置く/置く霜/霜の/く霜の/おく
7,20,あまの/天の/天の原/の原/あま/のは/のはら/はら/ふり/ふりさ/れば/見れば/さけ/みれ/みれば/りさけ/春日/春日な/なる/日なる
8,20,わがい/わが/わが庵/庵は/が庵は/いほ/いほは/ほは/都の/都の辰/辰巳/の辰巳/みや/この/たつ/たつみ/やこの/つみ/しか/しかぞ
9,20,はなの/花の/花の色/色は/の色は/はな/のい/いろは/ろは/移り/移りに/りな/けりな/うつ/りに/けり/つりに/いた/いたづ/らに
10,20,これ/これや/この/やこの/やこ/行く/行くも/ては/れては/いく/もか/へる/くもか/これ//これ/これや/この/やこの/これ
11,20,わたのはらや/わた/わたの/の原/たの原/のは/のはら/はら/八十/八十島/けて/かけて/やそ/しま/かけ/そしま/漕ぎ/漕ぎ出/ぬと/でぬと
12,20,あまつ/天つ/天つ風/つ風/あま/つか/つかぜ/かぜ/雲の/雲の通/ひ路/通ひ路/くも/のか/よひ/よひぢ/ものか/ひぢ/吹き/吹き閉
13,20,つく/筑波/筑波嶺/嶺の/波嶺の/ばね/ばねの/ねの/峰よ/峰より/つる/落つる/みね/より/おつ/おつる/ねより/男女/男女川/女川
