札番号,単語数,総文字数,単語リスト
1,13,31,あきの/あき/のた/のたの/たの/かり/ほの/いほ/いほの/りほの/とま/をあ/あらみ
2,13,30,はるす/はる/すぎ/すぎて/ぎて/なつ/きに/けら/けらし/つきに/らし/しろ/たへ
3,13,30,あし/びき/びきの/きの/やま/どり/のを/のをの/まどり/をの/しだ/りを/りをの
4,13,30,たご/のう/うらに/らに/うち/いで/てみ/みれば/ちいで/れば/しろ/たへ/たへの
5,13,30,おく/やま/やまに/まに/もみ/ぢふ/みわ/みわけ/みぢふ/わけ/なく/しか/しかの
6,13,30,かさ/さぎ/さぎの/ぎの/わた/せる/はし/はしに/たせる/しに/おく/しも/しもの
7,13,30,あまの/あま/のは/のはら/はら/ふり/さけ/みれ/みれば/りさけ/れば/かす/がな
8,13,30,わがい/わが/いほ/いほは/ほは/みや/この/たつ/たつみ/やこの/つみ/しか/ぞす
9,13,30,はなの/はな/のい/いろは/ろは/うつ/りに/けり/けりな/つりに/りな/いた/づら
10,13,31,これ/やこ/やこの/この/いく/もか/へる/れては/くもか/ては/これや/行く/行くも
11,13,33,わたのはらや/わた/のは/のはら/はら/やそ/しま/かけ/かけて/そしま/けて/こぎ/いで
12,13,30,あまつ/あま/つか/つかぜ/かぜ/くも/のか/よひ/よひぢ/ものか/ひぢ/ふき/とぢ
13,13,30,つく/ばね/ばねの/ねの/みね/より/おつ/おつる/ねより/つる/みな/のが/のがは
14,13,30,みち/のく/のくの/くの/しの/ぶも/ぢず/ぢずり/のぶも/ずり/たれ/ゆゑ/ゆゑに
15,13,33,きみがためは/きみ/がた/がため/ため/はる/のの/にい/いでて/るのの/でて/わか/なつ
16,13,30,たち/わか/わかれ/かれ/いな/ばの/やま/やまの/なばの/まの/みね/にお/おふる
17,13,30,ちは/やぶ/やぶる/ぶる/かみ/よも/きか/きかず/みよも/かず/たつ/たが/たがは
18,13,28,す/すみ/のえ/のえの/えの/きし/によ/るな/るなみ/しによ/なみ/よる/さへ
19,13,31,なにはが/なに/はが/はがた/がた/みじ/かき/あし/あしの/じかき/しの/ふし/のま
20,13,30,わび/ぬれ/ぬれば/れば/いま/はた/おな/おなじ/まはた/なじ/なに/はな/はなる
21,13,30,いまこ/いま/こむ/こむと/むと/いひ/しば/かり/かりに/ひしば/りに/なが/つき
22,13,28,ふ/ふく/から/からに/らに/あき/のく/さき/さきの/きのく/きの/しを/るれ
23,13,30,つき/みれ/みれば/れば/ちぢ/にも/のこ/のこそ/ぢにも/こそ/かな/しけ/しけれ
24,13,30,この/たび/たびは/びは/ぬさ/もと/りあ/あへず/さもと/へず/たむ/けや/けやま
25,13,30,なにし/なに/しお/おはば/はば/あふ/さか/やま/やまの/ふさか/まの/さね/かづ
26,13,29,をぐ/おぐ/らや/らやま/やま/みね/のも/みぢ/みぢば/ねのも/ぢば/ここ/ろあ
27,13,30,みかの/みか/のは/のはら/はら/わき/てな/がる/がるる/きてな/るる/いづ/みが
