札番号,単語数,総文字数,単語リスト
1,13,33,あきの/秋の/秋の田/田の/の田の/かり/かりほ/庵の/の庵の/苫を/苫をあ/らみ/あらみ
2,13,32,はるす/春過/春過ぎ/ぎて/過ぎて/夏来/夏来に/らし/けらし/白妙/白妙の/妙の/はる
3,13,32,あし/あしび/きの/びきの/山鳥/山鳥の/尾の/の尾の/しだ/しだり/り尾の/びき/やま
4,13,31,たご/田子/田子の/浦に/の浦に/うち/うち出/れば/見れば/白妙/白妙の/妙の/のう
5,13,31,おく/奥山/奥山に/山に/紅葉/紅葉踏/分け/み分け/鳴く/鳴く鹿/鹿の/く鹿の/やま
6,13,31,かさ/鵲の/渡せ/渡せる/橋に/る橋に/置く/置く霜/霜の/く霜の/さぎ/さぎの/ぎの
7,13,32,あまの/天の/天の原/の原/ふり/ふりさ/れば/見れば/春日/春日な/なる/日なる/あま
8,13,33,わがい/わが/わが庵/庵は/が庵は/都の/都の辰/辰巳/の辰巳/しか/しかぞ/住む/ぞ住む
9,13,33,はなの/花の/花の色/色は/の色は/移り/移りに/りな/けりな/いた/いたづ/らに/づらに
10,13,31,これ/これや/この/やこの/行く/行くも/ては/れては/やこ/いく/もか/へる/くもか
11,13,37,わたのはら　や/わた/わたの/の原/たの原/八十/八十島/けて/かけて/漕ぎ/漕ぎ出/ぬと/でぬと
12,13,32,あまつ/天つ/天つ風/つ風/雲の/雲の通/ひ路/通ひ路/吹き/吹き閉/ぢよ/閉ぢよ/あま
13,13,31,つく/筑波/筑波嶺/嶺の/波嶺の/峰よ/峰より/つる/落つる/男女/男女川/女川/ばね
14,13,31,みち/陸奥/陸奥の/奥の/しの/しのぶ/ずり/ぢずり/誰ゆ/誰ゆゑ/ゑに/ゆゑに/のく
15,13,37,きみがため　は/君が/君がた/ため/がため/春の/春の野/でて/出でて/若菜/若菜摘/摘む/菜摘む
16,13,32,たち/立ち/立ち別/別れ/ち別れ/いな/いなば/山の/の山の/峰に/峰に生/ふる/生ふる
17,13,31,ちは/ちはや/ぶる/やぶる/神代/神代も/かず/聞かず/竜田/竜田川/田川/やぶ/かみ
18,13,31,す/住の/住の江/江の/の江の/岸に/岸に寄/る波/寄る波/よる/よるさ/へや/さへや
19,13,33,なにはが/難波/難波潟/波潟/短き/短き蘆/蘆の/き蘆の/ふし/ふしの/間も/の間も/なに
20,13,32,わび/わびぬ/れば/ぬれば/今は/今はた/なじ/おなじ/難波/難波な/なる/波なる/ぬれ
21,13,32,いまこ/今来/今来む/むと/来むと/言ひ/言ひし/りに/かりに/長月/長月の/月の/いま
22,13,31,ふ/吹く/吹くか/らに/からに/秋の/秋の草/木の/草木の/しを/しをる/れば/るれば
23,13,32,つき/月見/月見れ/れば/見れば/ちぢ/ちぢに/こそ/のこそ/悲し/悲しけ/けれ/しけれ
24,13,31,この/このた/びは/たびは/ぬさ/ぬさも/へず/あへず/手向/手向山/向山/たび/もと
25,13,33,なにし/名に/名にし/はば/負はば/逢坂/逢坂山/山の/坂山の/さね/さねか/づら/かづら
26,13,31,をぐ/おぐ/小倉/小倉山/倉山/峰の/峰のも/ぢ葉/みぢ葉/心あ/心あら/らば/あらば
27,13,31,みかの/みか/の原/かの原/わき/わきて/るる/流るる/泉川/のは/のはら/はら/てな
28,13,32,やまざ/山里/山里は/里は/冬ぞ/冬ぞ寂/しさ/寂しさ/まさ/まさり/ける/りける/やま
29,13,33,こころあ/心あ/心あて/てに/あてに/折ら/折らば/らむ/折らむ/初霜/初霜の/霜の/ここ
30,13,32,ありあ/有明/有明の/明の/つれ/つれな/えし/見えし/別れ/別れよ/より/れより/あり
31,13,37,あさぼらけ　あ/朝ぼ/朝ぼら/らけ/ぼらけ/有明/有明の/月と/の月と/見る/見るま/でに/までに
32,13,32,やまが/山川/山川に/川に/風の/風のか/たる/けたる/しが/しがら/みは/らみは/やま
33,13,32,ひさ/ひさか/たの/かたの/光の/光のど/けき/どけき/春の/春の日/日に/の日に/かた
34,13,31,たれ/誰を/誰をか/かも/をかも/知る/知る人/せむ/にせむ/高砂/高砂の/砂の/をか
35,13,33,ひとは/人は/人はい/いさ/はいさ/心も/心も知/らず/知らず/ふる/ふるさ/とは/さとは
36,13,32,なつ/夏の/夏の夜/夜は/の夜は/まだ/まだ宵/がら/ながら/明け/明けぬ/るを/ぬるを
37,13,31,しら/白露/白露に/露に/風の/風の吹/しく/きしく/秋の/秋の野/野は/の野は/つゆ
38,13,33,わすら/忘ら/忘らる/るる/らるる/身を/身をば/はず/思はず/誓ひ/誓ひて/てし/ひてし
39,13,33,あさぢ/あさじ/浅茅/浅茅生/生の/茅生の/小野/小野の/篠原/の篠原/しの/しのぶ/れど
40,13,32,しの/しのぶ/れど/ぶれど/色に/色に出/けり/にけり/わが/わが恋/恋は/が恋は/ぶれ
41,13,31,こひ/こい/恋す/恋すて/てふ/すてふ/わが/わが名/だき/まだき/立ち/立ちに/けり
42,13,34,ちぎりき/契り/契りき/きな/りきな/かた/かたみ/袖を/に袖を/しぼ/しぼり/つつ/りつつ
43,13,31,あひ/あい/逢ひ/逢ひ見/ての/見ての/のち/のちの/心に/の心に/くら/くらぶ/れば
44,13,33,あふこ/おおこ/逢ふ/逢ふこ/との/ことの/絶え/絶えて/くは/なくは/なか/なかな/かに
45,13,33,あはれ/あわれ/あは/とも/れとも/いふ/いふべ/人は/き人は/思ほ/思ほえ/えで/ほえで
46,13,32,ゆら/由良/由良の/門を/の門を/渡る/渡る舟/舟人/る舟人/かぢ/かぢを/絶え/を絶え
47,13,31,やへ/やえ/八重/八重む/ぐら/むぐら/しげ/しげれ/宿の/る宿の/さび/さびし/きに
48,13,33,かぜを/風を/風をい/たみ/いたみ/岩う/岩うつ/波の/つ波の/おの/おのれ/のみ/れのみ
49,13,32,みかき/御垣/御垣守/垣守/衛士/衛士の/火の/く火の/夜は/夜は燃/燃え/は燃え/みか
50,13,36,きみがため　を/君が/君がた/ため/がため/惜し/惜しか/りし/ざりし/命さ/命さへ/さへ/きみ
51,13,32,かく/かくと/だに/とだに/えや/えやは/吹の/伊吹の/さし/さしも/も草/しも草/とだ
