札番号,単語数,総文字数,単語リスト
1,25,67,あきの/秋の/の田/田の/秋の田/の田の/秋の田の/かり/りほ/ほの/の庵/庵の/かりほ/りほの/ほの庵/の庵の/かりほの/りほの庵/ほの庵の/苫を/をあ/あら/らみ/苫をあ/をあら
2,25,66,はるす/春過/過ぎ/ぎて/春過ぎ/過ぎて/春過ぎて/夏来/来に/にけ/けら/らし/夏来に/来にけ/にけら/けらし/夏来にけ/来にけら/にけらし/白妙/妙の/白妙の/はる/るす/すぎ
3,25,69,あし/しび/びき/きの/あしび/しびき/びきの/あしびき/しびきの/山鳥/鳥の/の尾/尾の/山鳥の/鳥の尾/の尾の/山鳥の尾/鳥の尾の/しだ/だり/り尾/しだり/だり尾/り尾の/しだり尾
4,25,67,たご/田子/子の/の浦/浦に/田子の/子の浦/の浦に/田子の浦/子の浦に/うち/ち出/出で/でて/て見/見れ/れば/うち出/ち出で/出でて/でて見/て見れ/見れば/うち出で/ち出でて
5,25,65,おく/奥山/山に/奥山に/紅葉/葉踏/踏み/み分/分け/紅葉踏/葉踏み/踏み分/み分け/紅葉踏み/葉踏み分/踏み分け/鳴く/く鹿/鹿の/鳴く鹿/く鹿の/鳴く鹿の/くや/やま/まに
6,25,68,かさ/鵲の/渡せ/せる/る橋/橋に/渡せる/せる橋/る橋に/渡せる橋/せる橋に/置く/く霜/霜の/置く霜/く霜の/置く霜の/ささ/さぎ/ぎの/かささ/ささぎ/さぎの/かささぎ/ささぎの
7,25,69,あまの/天の/の原/天の原/ふり/りさ/さけ/け見/見れ/れば/ふりさ/りさけ/さけ見/け見れ/見れば/ふりさけ/りさけ見/さけ見れ/け見れば/春日/日な/なる/春日な/日なる/春日なる
8,25,66,わがい/わが/が庵/庵は/わが庵/が庵は/わが庵は/都の/の辰/辰巳/都の辰/の辰巳/都の辰巳/しか/かぞ/ぞ住/住む/しかぞ/かぞ住/ぞ住む/しかぞ住/かぞ住む/がい/いほ/ほは
9,25,67,はなの/花の/の色/色は/花の色/の色は/花の色は/移り/りに/にけ/けり/りな/移りに/りにけ/にけり/けりな/移りにけ/りにけり/にけりな/いた/たづ/づら/らに/いたづ/たづら
10,25,64,これ/れや/やこ/この/これや/れやこ/やこの/これやこ/れやこの/行く/くも/も帰/帰る/るも/も別/別れ/れて/ては/行くも/くも帰/も帰る/帰るも/るも別/も別れ/別れて
11,25,70,わたのはら　や/わた/たの/の原/わたの/たの原/わたの原/八十/十島/島か/かけ/けて/八十島/十島か/島かけ/かけて/八十島か/十島かけ/島かけて/漕ぎ/ぎ出/出で/でぬ/ぬと/漕ぎ出
12,25,66,あまつ/天つ/つ風/天つ風/雲の/の通/通ひ/ひ路/雲の通/の通ひ/通ひ路/雲の通ひ/の通ひ路/吹き/き閉/閉ぢ/ぢよ/吹き閉/き閉ぢ/閉ぢよ/吹き閉ぢ/き閉ぢよ/あま/まつ/つか
13,25,65,つく/筑波/波嶺/嶺の/筑波嶺/波嶺の/筑波嶺の/峰よ/より/り落/落つ/つる/峰より/より落/り落つ/落つる/峰より落/より落つ/り落つる/男女/女川/男女川/くば/ばね/ねの
14,25,68,みち/陸奥/奥の/陸奥の/しの/のぶ/ぶも/もぢ/ぢず/ずり/しのぶ/のぶも/ぶもぢ/もぢず/ぢずり/しのぶも/のぶもぢ/ぶもぢず/もぢずり/誰ゆ/ゆゑ/ゑに/誰ゆゑ/ゆゑに/誰ゆゑに
15,25,72,きみがため　は/君が/がた/ため/君がた/がため/君がため/春の/の野/野に/に出/出で/でて/春の野/の野に/野に出/に出で/出でて/春の野に/の野に出/野に出で/に出でて/若菜/菜摘/摘む
16,25,66,たち/立ち/ち別/別れ/立ち別/ち別れ/立ち別れ/いな/なば/ばの/の山/山の/いなば/なばの/ばの山/の山の/いなばの/なばの山/ばの山の/峰に/に生/生ふ/ふる/峰に生/に生ふ
