札番号,単語数,総文字数,単語リスト
1,69,262,あきの/秋の田/の田の/かりほ/りほの/ほの庵/の庵の/苫をあ/をあら/あらみ/きのた/のたの/ほのい/のいほ/いほの/とまを/まをあ/秋の田の/かりほの/りほの庵/ほの庵の/苫をあら/をあらみ/あきのた/きのたの/りほのい/ほのいほ/のいほの/とまをあ/まをあら/秋の/の田/田の/かり/りほ/ほの/の庵/庵の/苫を/をあ/あら/らみ/あき/きの/のた/たの/のい/いほ/とま/まを/あきの秋の田/秋の田の田の/の田のかりほ/かりほりほの/りほのほの庵/ほの庵の庵の/の庵の苫をあ/苫をあをあら/をあらあらみ/あらみきのた/きのたのたの/のたのほのい/ほのいのいほ/のいほいほの/いほのとまを/とまをまをあ/まをあ秋の田の/秋の田のかりほの/かりほのりほの庵
2,67,262,はるす/春過ぎ/過ぎて/夏来に/来にけ/にけら/けらし/白妙の/るすぎ/すぎて/なつき/つきに/きにけ/しろた/ろたへ/たへの/春過ぎて/夏来にけ/来にけら/にけらし/はるすぎ/るすぎて/なつきに/つきにけ/きにけら/しろたへ/ろたへの/春過/過ぎ/ぎて/夏来/来に/にけ/けら/らし/白妙/妙の/はる/るす/すぎ/なつ/つき/きに/しろ/ろた/たへ/への/はるす春過ぎ/春過ぎ過ぎて/過ぎて夏来に/夏来に来にけ/来にけにけら/にけらけらし/けらし白妙の/白妙のるすぎ/るすぎすぎて/すぎてなつき/なつきつきに/つきにきにけ/きにけしろた/しろたろたへ/ろたへたへの/たへの春過ぎて/春過ぎて夏来にけ/夏来にけ来にけら/来にけらにけらし/にけらしはるすぎあ
3,67,262,あし/あしび/しびき/びきの/山鳥の/鳥の尾/の尾の/しだり/だり尾/り尾の/やまど/まどり/どりの/りのを/のをの/だりを/りをの/あしびき/しびきの/山鳥の尾/鳥の尾の/しだり尾/だり尾の/やまどり/まどりの/どりのを/りのをの/しだりを/だりをの/しび/びき/きの/山鳥/鳥の/の尾/尾の/しだ/だり/り尾/やま/まど/どり/りの/のを/をの/りを/あしあしび/あしびしびき/しびきびきの/びきの山鳥の/山鳥の鳥の尾/鳥の尾の尾の/の尾のしだり/しだりだり尾/だり尾り尾の/り尾のやまど/やまどまどり/まどりどりの/どりのりのを/りのをのをの/のをのだりを/だりをりをの/りをのあしびき/あしびきしびきの/しびきの山鳥の尾/山鳥の尾鳥の尾の/鳥の尾の
4,79,262,たご/田子の/子の浦/の浦に/うち出/ち出で/出でて/でて見/て見れ/見れば/白妙の/たごの/ごのう/のうら/うらに/うちい/ちいで/いでて/でてみ/てみれ/みれば/しろた/ろたへ/たへの/田子の浦/子の浦に/うち出で/ち出でて/出でて見/でて見れ/て見れば/たごのう/ごのうら/のうらに/うちいで/ちいでて/いでてみ/でてみれ/てみれば/しろたへ/ろたへの/田子/子の/の浦/浦に/うち/ち出/出で/でて/て見/見れ/れば/白妙/妙の/ごの/のう/うら/らに/ちい/いで/てみ/みれ/しろ/ろた/たへ/への/たご田子の/田子の子の浦/子の浦の浦に/の浦にうち出/うち出ち出で/ち出で出でて/出でてでて見/でて見て見れ/て見れ見れば/見れば白妙の/白妙のたごの/たごのごのう/ごの
5,73,262,おく/奥山に/紅葉踏/葉踏み/踏み分/み分け/鳴く鹿/く鹿の/おくや/くやま/やまに/もみぢ/みぢふ/ぢふみ/ふみわ/みわけ/なくし/くしか/しかの/紅葉踏み/葉踏み分/踏み分け/鳴く鹿の/おくやま/くやまに/もみぢふ/みぢふみ/ぢふみわ/ふみわけ/なくしか/くしかの/奥山/山に/紅葉/葉踏/踏み/み分/分け/鳴く/く鹿/鹿の/くや/やま/まに/もみ/みぢ/ぢふ/ふみ/みわ/わけ/なく/くし/しか/かの/おく奥山に/奥山に紅葉踏/紅葉踏葉踏み/葉踏み踏み分/踏み分み分け/み分け鳴く鹿/鳴く鹿く鹿の/く鹿のおくや/おくやくやま/くやまやまに/やまにもみぢ/もみぢみぢふ/みぢふぢふみ/ぢふみふみわ/ふみわみわけ/みわけなくし/なくしくしか/くしかしかの/しかの紅葉
6,69,262,かさ/渡せる/せる橋/る橋に/置く霜/く霜の/かささ/ささぎ/さぎの/わたせ/たせる/せるは/るはし/はしに/おくし/くしも/しもの/渡せる橋/せる橋に/置く霜の/かささぎ/ささぎの/わたせる/たせるは/せるはし/るはしに/おくしも/くしもの/鵲の/渡せ/せる/る橋/橋に/置く/く霜/霜の/ささ/さぎ/ぎの/わた/たせ/るは/はし/しに/おく/くし/しも/もの/かさ渡せる/渡せるせる橋/せる橋る橋に/る橋に置く霜/置く霜く霜の/く霜のかささ/かささささぎ/ささぎさぎの/さぎのわたせ/わたせたせる/たせるせるは/せるはるはし/るはしはしに/はしにおくし/おくしくしも/くしもしもの/しもの渡せる橋/渡せる橋せる橋に/せる橋に置く霜の/置く霜のかささぎ/かさ
7,69,262,あまの/天の原/ふりさ/りさけ/さけ見/け見れ/見れば/春日な/日なる/まのは/のはら/さけみ/けみれ/みれば/かすが/すがな/がなる/ふりさけ/りさけ見/さけ見れ/け見れば/春日なる/あまのは/まのはら/りさけみ/さけみれ/けみれば/かすがな/すがなる/天の/の原/ふり/りさ/さけ/け見/見れ/れば/春日/日な/なる/あま/まの/のは/はら/けみ/みれ/かす/すが/がな/あまの天の原/天の原ふりさ/ふりさりさけ/りさけさけ見/さけ見け見れ/け見れ見れば/見れば春日な/春日な日なる/日なるまのは/まのはのはら/のはらさけみ/さけみけみれ/けみれみれば/みればかすが/かすがすがな/すがながなる/がなるふりさけ/ふりさけりさけ見/りさけ見さけ見れ/さけ見れ
8,70,262,わがい/わが庵/が庵は/都の辰/の辰巳/しかぞ/かぞ住/ぞ住む/がいほ/いほは/みやこ/やこの/このた/のたつ/たつみ/かぞす/ぞすむ/わが庵は/都の辰巳/しかぞ住/かぞ住む/わがいほ/がいほは/みやこの/やこのた/このたつ/のたつみ/しかぞす/かぞすむ/わが/が庵/庵は/都の/の辰/辰巳/しか/かぞ/ぞ住/住む/がい/いほ/ほは/みや/やこ/この/のた/たつ/つみ/ぞす/すむ/わがいわが庵/わが庵が庵は/が庵は都の辰/都の辰の辰巳/の辰巳しかぞ/しかぞかぞ住/かぞ住ぞ住む/ぞ住むがいほ/がいほいほは/いほはみやこ/みやこやこの/やこのこのた/このたのたつ/のたつたつみ/たつみかぞす/かぞすぞすむ/ぞすむわが庵は/わが庵は都の辰巳/都の辰巳しかぞ住/しか
9,66,262,はなの/花の色/の色は/移りに/りにけ/にけり/けりな/いたづ/たづら/づらに/なのい/のいろ/いろは/うつり/つりに/花の色は/移りにけ/りにけり/にけりな/いたづら/たづらに/はなのい/なのいろ/のいろは/うつりに/つりにけ/花の/の色/色は/移り/りに/にけ/けり/りな/いた/たづ/づら/らに/はな/なの/のい/いろ/ろは/うつ/つり/はなの花の色/花の色の色は/の色は移りに/移りにりにけ/りにけにけり/にけりけりな/けりないたづ/いたづたづら/たづらづらに/づらになのい/なのいのいろ/のいろいろは/いろはうつり/うつりつりに/つりに花の色は/花の色は移りにけ/移りにけりにけり/りにけりにけりな/にけりないたづら/いたづらたづらに/たづらに
10,73,262,これ/これや/れやこ/やこの/行くも/くも帰/も帰る/帰るも/るも別/も別れ/別れて/れては/いくも/くもか/もかへ/かへる/へるも/るもわ/もわか/わかれ/かれて/これやこ/れやこの/行くも帰/くも帰る/も帰るも/帰るも別/るも別れ/も別れて/別れては/いくもか/くもかへ/もかへる/かへるも/へるもわ/るもわか/もわかれ/わかれて/かれては/れや/やこ/この/行く/くも/も帰/帰る/るも/も別/別れ/れて/ては/いく/もか/かへ/へる/もわ/わか/かれ/これこれや/これやれやこ/れやこやこの/やこの行くも/行くもくも帰/くも帰も帰る/も帰る帰るも/帰るもるも別/るも別も別れ/も別れ別れて/別れてれては/れてはいくも/いくもくもか/くもかもかへ/もかへかへるあ
