札番号,単語数,総文字数,単語リスト
1,1,3,あきの
2,1,3,はるす
3,1,2,あし
4,1,2,たご
5,1,2,おく
6,1,2,かさ
7,1,3,あまの
8,1,3,わがい
9,1,3,はなの
10,1,2,これ
11,1,7,わたのはら　や
12,1,3,あまつ
13,1,2,つく
14,1,2,みち
15,1,7,きみがため　は
16,1,2,たち
17,1,2,ちは
18,1,1,す
19,1,4,なにはが
20,1,2,わび
21,1,3,いまこ
22,1,1,ふ
23,1,2,つき
24,1,2,この
25,1,3,なにし
26,1,2,をぐ
27,1,3,みかの
28,1,3,やまざ
29,1,4,こころあ
30,1,3,ありあ
31,1,7,あさぼらけ　あ
32,1,3,やまが
33,1,2,ひさ
34,1,2,たれ
35,1,3,ひとは
36,1,2,なつ
37,1,2,しら
38,1,3,わすら
39,1,3,あさぢ
40,1,2,しの
41,1,2,こひ
42,1,4,ちぎりき
43,1,2,あひ
44,1,3,あふこ
45,1,3,あはれ
46,1,2,ゆら
47,1,2,やへ
48,1,3,かぜを
49,1,3,みかき
50,1,7,きみがため　を
51,1,2,かく
52,1,2,あけ
53,1,3,なげき
54,1,3,わすれ
55,1,2,たき
56,1,3,あらざ
57,1,1,め
58,1,3,ありま
59,1,2,やす
60,1,3,おほえ
61,1,2,いに
62,1,2,よを
63,1,3,いまは
64,1,7,あさぼらけ　う
65,1,2,うら
66,1,2,もろ
67,1,3,はるの
68,1,4,こころに
69,1,3,あらし
70,1,1,さ
71,1,2,ゆふ
72,1,2,おと
73,1,2,たか
74,1,2,うか
75,1,4,ちぎりお
76,1,7,わたのはら　こ
77,1,1,せ
78,1,3,あはぢ
79,1,3,あきか
80,1,3,ながか
81,1,1,ほ
82,1,3,おもひ
83,1,5,よのなかよ
84,1,3,ながら
85,1,2,よも
86,1,3,なげけ
87,1,1,む
88,1,4,なにはえ
89,1,2,たま
90,1,2,みせ
91,1,2,きり
92,1,3,わがそ
93,1,5,よのなかは
94,1,2,みよ
95,1,3,おほけ
96,1,3,はなさ
97,1,2,こぬ
98,1,3,かぜそ
99,1,3,ひとも
100,1,2,もも
0,1,4,なにわづ
