札番号,単語数,総文字数(現在の満点),登録単語リスト
1,23,105,あきのたの/田の/とまをあらみ/かりほ/あきのたの　かりほのいほの　とまをあらみ/秋の/かりほの庵の/あき/秋の田の/秋の田/たの/かり/あきの/秋の田の　かりほの庵の　苫をあらみ/苫をあ/とまを/らみ/とま/庵の/ほの/苫をあらみ/苫を/かりほのいほの
2,23,101,夏来/夏来に/はるす/はるすぎて/はる/しろたへの/春過/なつ/妙の/夏来にけらし/しろた/らし/春過ぎ/ぎて/春過ぎて/白妙/への/はるすぎて　なつきにけらし　　しろたへの/なつき/しろ/なつきにけらし/春過ぎて　夏来にけらし　　白妙の/白妙の
3,18,89,をの/きの/あしびきの　山鳥の尾の　しだり尾の/あしびきの/あし/しだり/山鳥の/しだりをの/やまど/あしび/あしびきの　やまどりのをの　しだりをの/やまどりのをの/山鳥/山鳥の尾の/しだ/やま/尾の/しだり尾の
4,23,109,たごの/うちい/田子/しろたへの/田子の/妙の/たごのうらに/しろた/れば/うち出/らに/うち出でて見れば/白妙/うち/たごのうらに　うちいでてみれば　しろたへの/浦に/への/うちいでてみれば/しろ/たご/白妙の/田子の浦に/田子の浦に　うち出でて見れば　白妙の
5,25,103,おく/かの/奥山に　紅葉踏み分け　鳴く鹿の/鳴く鹿/分け/なくし/山に/紅葉踏/奥山に/紅葉/紅葉踏み分け/鳴く/おくやまに　もみぢふみわけ　なくしかの/もみぢふみわけ/なく/奥山/まに/もみ/鳴く鹿の/鹿の/おくやまに/もみぢ/わけ/おくや/なくしかの
6,23,95,置く霜の/置く/おく/鵲の　渡せる橋に　置く霜の/鵲の/渡せる橋に/わた/橋に/かさ/渡せ/かささぎの　わたせるはしに　おくしもの/しに/おくし/霜の/わたせ/ぎの/渡せる/もの/かささ/置く霜/かささぎの/おくしもの/わたせるはしに
7,21,96,天の原　ふりさけ見れば　春日なる/春日なる/春日な/の原/かすがなる/あまのはら　ふりさけみれば　かすがなる/春日/ふりさ/あまのはら/かすが/天の/れば/あまの/あま/ふり/かす/はら/天の原/なる/ふりさけみれば/ふりさけ見れば
8,23,99,わが庵は/みや/しか/みやこ/都の辰/辰巳/しかぞすむ/わがい/わが庵は　都の辰巳　しかぞ住む/すむ/わがいほは　みやこのたつみ　しかぞすむ/つみ/みやこのたつみ/しかぞ/しかぞ住む/わが/都の/わが庵/わがいほは/ほは/都の辰巳/庵は/住む
9,21,98,移りに/花の/うつりにけりな/花の色は/りな/色は/うつ/はな/はなのいろは　うつりにけりな　いたづらに/いたづらに/ろは/花の色は　移りにけりな　いたづらに/らに/花の色/うつり/いた/はなのいろは/はなの/移りにけりな/いたづ/移り
10,13,80,これ/これやこの　いくもかへるもわかれては/これや/これやこの　行くも帰るも別れては/行く/行くも/この/ては/いくも/いくもかへるもわかれては/行くも帰るも別れては/いく/これやこの
11,23,112,わたのはら　やそしまかけて　こぎいでぬと/わたのはら/わたのはら　や/の原/八十/漕ぎ/ぬと/わた/こぎいでぬと/こぎい/漕ぎ出/やそしまかけて/わたの原/八十島/わたの/漕ぎ出でぬと/八十島かけて/はら/やそし/やそ/こぎ/けて/わたの原　八十島かけて　漕ぎ出でぬと
12,24,101,吹き閉/雲の通/ふき/あまつ/雲の/くものかよひぢ/つ風/吹き閉ぢよ/吹き/ふきとぢよ/天つ風/くもの/ひ路/くも/あま/あまつかぜ/かぜ/あまつかぜ　くものかよひぢ　ふきとぢよ/雲の通ひ路/天つ風　雲の通ひ路　吹き閉ぢよ/ひぢ/天つ/ぢよ/ふきと
13,24,101,筑波/峰より/女川/みなの/みね/峰より落つる/男女/筑波嶺の　峰より落つる　男女川/つくば/ねの/がは/筑波嶺の/つる/男女川/つく/みねよ/峰よ/筑波嶺/つくばねの/つくばねの　みねよりおつる　みなのがは/みなのがは/みねよりおつる/みな/嶺の
14,20,89,誰ゆ/陸奥の/みちのくの　しのぶもぢずり　たれゆゑに/誰ゆゑ/みちのくの/みち/しのぶもぢずり/みちの/しの/たれ/たれゆ/誰ゆゑに/たれゆゑに/くの/ゑに/しのぶ/陸奥/ずり/陸奥の　しのぶもぢずり　誰ゆゑに/奥の
15,25,115,つむ/きみ/君がた/きみが/きみがため/はる/春の野/はるの/きみがため　はるののにいでて　わかなつむ/でて/きみがため　は/君が/春の/君がため　春の野に出でて　若菜摘む/若菜/摘む/はるののにいでて/わかな/わかなつむ/若菜摘/わか/春の野に出でて/ため/君がため/若菜摘む
16,23,105,みね/たちわかれ　いなばのやまの　みねにおふる/立ち別/たちわ/いなばの山の/いな/立ち/立ち別れ/かれ/いなば/別れ/ふる/立ち別れ　いなばの山の　峰に生ふる/峰に生/峰に生ふる/いなばのやまの/峰に/たちわかれ/みねにおふる/まの/たち/山の/みねに
17,20,91,たつた/神代/ちはやぶる　かみよもきかず　たつたがは/たつ/ちは/田川/かず/ちはや/がは/神代も聞かず/かみよ/ちはやぶる　神代も聞かず　竜田川/かみ/ぶる/かみよもきかず/ちはやぶる/神代も/竜田/竜田川/たつたがは
18,22,96,きしによるなみ/よるさ/えの/すみのえの　きしによるなみ　よるさへや/すみのえの/住の江の　岸に寄る波　よるさへや/なみ/住の江の/る波/住の/すみの/岸に/よるさへや/よる/岸に寄/住の江/へや/江の/きしに/岸に寄る波/きし/すみ
19,24,100,ふしの/波潟/みじ/ふしの間も/難波/なには/みじかきあしの/短き蘆の/しの/短き蘆/なにはがた/なにはがた　みじかきあしの　ふしのまも/短き/みじか/間も/ふしのまも/難波潟　短き蘆の　ふしの間も/がた/蘆の/難波潟/なにはが/ふし/まも/なに
20,20,94,わびぬれば/今はた/わび/いまはたおなじ/難波/なには/わびぬれば　いまはたおなじ　なにはなる/わびぬれば　今はたおなじ　難波なる/今はたおなじ/難波なる/いま/れば/いまは/なにはなる/なじ/わびぬ/今は/難波な/なる/なに
21,23,101,きの/いひしばかりに/今来む/いひ/月の/言ひしばかりに/いま/なが/ながつきの/りに/今来/言ひ/いまこむと　いひしばかりに　ながつきの/言ひし/いまこむと/いまこ/むと/今来むと/ながつ/いひし/長月の/今来むと　言ひしばかりに　長月の/長月
22,21,96,きの/木の/ふくからに　あきのくさきの　しをるれば/秋の/ふくか/ふくからに/あき/ふく/れば/しをる/しを/秋の草/吹く/あきのくさきの/らに/吹くからに/秋の草木の/あきの/しをるれば/吹くからに　秋の草木の　しをるれば/吹くか
23,20,92,こそ/悲しけれ/つきみ/月見れ/月見れば　ちぢにものこそ　悲しけれ/月見/ちぢにものこそ/悲し/けれ/れば/かなし/つき/つきみれば/月見れば/ちぢ/悲しけ/つきみれば　ちぢにものこそ　かなしけれ/かな/かなしけれ/ちぢに
24,18,92,手向/たむ/手向山/びは/この/このたびは　ぬさもとりあへず　たむけやま/向山/たむけ/へず/ぬさも/ぬさも取りあへず/ぬさもとりあへず/このたびは/たむけやま/このた/ぬさ/やま/このたびは　ぬさも取りあへず　手向山
25,21,98,なにしおはば　あふさかやまの　さねかづら/あふ/なにし/あふさかやまの/名に/逢坂/逢坂山の/名にし負はば/名にし/さねか/さね/あふさ/はば/名にし負はば　逢坂山の　さねかづら/さねかづら/逢坂山/づら/山の/まの/なに/なにしおはば
26,25,105,峰の/おぐ/をぐら/みねの/ぢ葉/こころあらば/みね/みねのもみぢば/小倉山　峰のもみぢ葉　心あらば/小倉/小倉山/峰のもみぢ葉/らば/をぐらやま/心あらば/をぐらやま　みねのもみぢば　こころあらば/ぢば/ここ/心あ/峰のも/こころ/をぐ/やま/倉山/心あら
27,18,85,るる/いづみ/の原/わきて/わき/みか/みかの原/わきて流るる/がは/いづみがは/わきてながるる/みかの/はら/みかのはら/みかのはら　わきてながるる　いづみがは/みかの原　わきて流るる　泉川/泉川/いづ
28,20,89,ふゆぞさびしさ/まさり/冬ぞ/山里は/しさ/里は/ける/やまざとは/山里/ふゆぞ/まさりける/とは/まさ/やまざとは　ふゆぞさびしさ　まさりける/冬ぞ寂しさ/山里は　冬ぞ寂しさ　まさりける/やまざ/ふゆ/冬ぞ寂/やま
29,24,107,をら/こころあ/折らばや折らむ/こころあてに/らむ/ここ/はつ/折ら/霜の/心あ/はつしもの/てに/もの/はつし/心あてに/折らば/こころ/初霜の/こころあてに　をらばやをらむ　はつしもの/心あてに　折らばや折らむ　初霜の/をらば/心あて/初霜/をらばやをらむ
30,21,96,つれな/つれなく見えし/より/有明/別れより/ありあ/あり/わかれ/有明の/けの/ありあけの/つれ/つれなくみえし/有明の　つれなく見えし　別れより/ありあけの　つれなくみえし　わかれより/別れ/別れよ/明の/えし/わか/わかれより
31,25,113,きと/見るま/見るまでに/有明/ありあ/あり/みるまでに/あさ/有明の/朝ぼら/でに/あさぼらけ　あ/朝ぼらけ　有明の月と　見るまでに/朝ぼ/有明の月と/みる/らけ/あさぼ/朝ぼらけ/あさぼらけ　ありあけのつきと　みるまでに/あさぼらけ/ありあけのつきと/みるま/月と/見る
32,20,91,たる/山川に　風のかけたる　しがらみは/やまがはに/しがらみは/山川/川に/やまが/山川に/かぜ/みは/しが/やまがはに　かぜのかけたる　しがらみは/かぜのかけたる/かぜの/はに/風のかけたる/やま/風の/しがら/風のか
33,21,94,春の日に/ひさ/ひかり/はる/光の/はるの/ひに/春の/ひさか/光のどけき/たの/日に/ひさかたの/ひか/光のど/春の日/ひさかたの　ひかりのどけき　はるのひに/ひかりのどけき/ひさかたの　光のどけき　春の日に/けき/はるのひに
34,23,99,高砂/しる/誰をかも/たか/たれをかも/知る人/誰をか/かも/知る人にせむ/高砂の/誰を/せむ/たれ/たれを/たかさごの/砂の/知る/しるひとにせむ/たかさ/しるひ/たれをかも　しるひとにせむ　たかさごの/ごの/誰をかも　知る人にせむ　高砂の
35,20,92,ひとはいさ/ふるさ/心も知/ここ/とは/心も/らず/ひとはいさ　こころもしらず　ふるさとは/こころもしらず/人はい/心も知らず/ふる/ひとは/こころ/人はいさ　心も知らず　ふるさとは/人は/いさ/ふるさとは/ひと/人はいさ
36,23,104,なつのよは/夏の夜は　まだ宵ながら　明けぬるを/明けぬ/あけぬ/なつ/夏の夜/明けぬるを/あけぬるを/なつのよは　まだよひながら　あけぬるを/まだよひながら/よは/あけ/夏の/るを/まだ宵/夜は/夏の夜は/なつの/明け/まだよ/まだ宵ながら/がら/まだ
37,24,101,風の吹きしく/野は/露に/秋の/白露に/白露に　風の吹きしく　秋の野は/あき/ゆに/秋の野/しく/風の吹/あきの/あきののは/かぜ/秋の野は/しらつ/しらつゆに/かぜのふきしく/しら/白露/かぜの/しらつゆに　かぜのふきしく　あきののは/風の/のは
38,23,102,るる/みをば/身を/わすら/わすらるる/みをばおもはず/身をば/忘ら/忘らるる/わす/みを/忘らる/身をば思はず/はず/ちかひてし/てし/ちか/誓ひてし/ちかひ/誓ひ/忘らるる　身をば思はず　誓ひてし/誓ひて/わすらるる　みをばおもはず　ちかひてし
39,24,101,をの/浅茅生の/浅茅生/をのの/小野/あさ/しの/をののしのはら/小野の篠原/しのぶれど/浅茅生の　小野の篠原　しのぶれど/あさじ/あさぢふの/しのぶ/生の/小野の/さじ/はら/あさぢふの　をののしのはら　しのぶれど/篠原/れど/あさぢ/浅茅/ふの
40,20,98,わが恋は/恋は/色に/わがこひは/しの/しのぶれど　いろにいでにけり　わがこひは/しのぶれど/わがこ/しのぶれど　色に出でにけり　わが恋は/いろにいでにけり/しのぶ/色に出/ひは/わが恋/わが/いろ/けり/色に出でにけり/れど/いろに
41,23,106,たちにけり/こひ/立ちにけり/わがなはまだき/たちに/こい/恋すてふ/立ち/てふ/恋すてふ　わが名はまだき　立ちにけり/立ちに/恋す/恋すて/わがな/こひすてふ/こひすてふ　わがなはまだき　たちにけり/わが名はまだき/わが/わが名/こひす/けり/たち/だき
42,20,95,契りき/ちぎり/しぼりつつ/契り/契りきな/しぼり/契りきな　かたみに袖を　しぼりつつ/袖を/でを/つつ/かた/ちぎりきな/かたみに袖を/ちぎりき/きな/ちぎ/しぼ/かたみにそでを/ちぎりきな　かたみにそでを　しぼりつつ/かたみ
43,20,93,くらぶ/あひみての/逢ひ見/逢ひ/れば/ての/あい/心に/あひみ/くらぶれば/あひ/のち/のちの心に/くら/ろに/逢ひ見ての/あひみての　のちのこころに　くらぶれば/のちの/逢ひ見ての　のちの心に　くらぶれば/のちのこころに
44,23,105,との/たえ/なかなかに/絶えて/あふことの　たえてしなくは　なかなかに/あふ/あふことの/おお/くは/たえて/なかな/おおこ/あふこ/たえてしなくは/逢ふことの　絶えてしなくは　なかなかに/逢ふ/かに/絶え/逢ふこ/なか/おこ/逢ふことの/絶えてしなくは
