時刻,認識単語,加点札ID,現在スコア,満点スコア,類似度
21:11:44.409,ひと,34,2,44,4.5%
21:11:44.409,ひと,35,2,46,4.3%
21:11:44.409,ひと,45,2,47,4.3%
21:11:44.409,ひと,53,2,46,4.3%
21:11:44.409,ひと,74,2,45,4.4%
21:11:44.409,ひと,88,2,47,4.3%
21:11:44.409,ひと,97,2,45,4.4%
21:11:44.409,ひと,99,2,47,4.3%
21:11:45.664,しら,35,4,46,8.7%
21:11:45.664,しら,37,2,45,4.4%
21:11:45.664,しら,80,2,46,4.3%
21:11:47.164,くる,52,2,45,4.4%
21:11:54.412,はるの,67,3,46,6.5%
21:11:55.912,春の,15,2,49,4.1%
21:11:55.912,春の,33,2,45,4.4%
21:11:55.912,春の,67,5,46,10.9%
21:11:56.168,ゆめ,67,7,46,15.2%
21:11:56.662,ばか,67,9,46,19.6%
21:11:57.162,かり,1,2,47,4.3%
21:11:57.162,かり,21,2,46,4.3%
21:11:58.413,たま,89,2,46,4.3%
21:11:59.163,黒髪,80,4,46,8.7%
