時刻,認識単語,加点札ID,現在スコア,満点スコア,類似度
21:12:54.820,ひと,34,2,44,4.5%
21:12:54.820,ひと,35,2,46,4.3%
21:12:54.820,ひと,45,2,47,4.3%
21:12:54.820,ひと,53,2,46,4.3%
21:12:54.820,ひと,74,2,45,4.4%
21:12:54.820,ひと,88,2,47,4.3%
21:12:54.820,ひと,97,2,45,4.4%
21:12:54.820,ひと,99,2,47,4.3%
21:12:55.069,にい,15,2,49,4.1%
21:12:55.070,にい,40,2,46,4.3%
21:12:55.825,しら,35,4,46,8.7%
21:12:55.825,しら,37,2,45,4.4%
21:12:55.825,しら,80,2,46,4.3%
21:12:57.322,くる,52,2,45,4.4%
21:13:04.321,ある,65,2,46,4.3%
21:13:04.321,ある,82,2,47,4.3%
21:13:04.820,すぎ,2,2,46,4.3%
21:13:06.316,長月,21,2,46,4.3%
21:13:07.072,けら,2,4,46,8.7%
21:13:08.326,白妙,2,6,46,13.0%
21:13:08.326,白妙,4,2,46,4.3%
