時刻,認識単語,加点札ID,現在スコア,満点スコア,類似度
23:41:28.128,ひと,34,2,44,4.5%
23:41:28.128,ひと,35,2,46,4.3%
23:41:28.128,ひと,45,2,47,4.3%
23:41:28.128,ひと,53,2,46,4.3%
23:41:28.128,ひと,74,2,45,4.4%
23:41:28.128,ひと,88,2,47,4.3%
23:41:28.128,ひと,97,2,45,4.4%
23:41:28.128,ひと,99,2,47,4.3%
23:41:30.880,恨み,65,2,46,4.3%
23:41:33.385,まし,59,2,45,4.4%
23:41:37.879,さびし,47,3,45,6.7%
23:41:38.140,さび,47,5,45,11.1%
23:41:38.140,さび,70,2,44,4.5%
23:41:38.140,しさ,28,2,46,4.3%
23:41:38.140,しさ,70,4,44,9.1%
23:41:38.376,にい,15,2,49,4.1%
23:41:38.376,にい,40,2,46,4.3%
23:41:39.376,やど,47,7,45,15.6%
23:41:39.376,やど,70,6,44,13.6%
23:41:40.631,たち,16,2,46,4.3%
23:41:40.631,たち,41,2,45,4.4%
23:41:42.376,なが,36,2,46,4.3%
23:41:42.376,なが,70,8,44,18.2%
23:41:42.376,なが,80,2,46,4.3%
23:41:42.376,なが,81,2,44,4.5%
23:41:42.376,なが,84,2,46,4.3%
23:41:42.376,なが,89,2,46,4.3%
