日時,ファイル名,前の札,対象札,最終推定ID,最終類似度,認識単語
2026-05-10 20:07:26,kore_harusu_20260510_200726.wav,kore,harusu,10,52.2%,しる もを しら もう 逢坂 べき これ やこ この ゆく いく もか 別れ
2026-05-10 20:33:10,kore_harusu_20260510_203310.wav,kore,harusu,10,43.5%,これ 明く 小野 いく もう かよ もか れる わか 別れ 知る のお のう しら もを 逢坂 かど せ きみ
2026-05-10 20:41:11,kore_harusu_20260510_204111.wav,kore,harusu,2,41.7%,しる もを しら のう 逢坂 せ べき はる すぎ なつ らし 白妙
2026-05-10 20:46:43,kore_harusu_20260510_204643.wav,kore,harusu,2,41.7%,しる もを しら もう 逢坂 せ つき はる すぎ なつ らし 白妙
2026-05-10 20:49:43,2_kore_20260510_204943.wav,2,kore,2,41.7%,知る もを しら もう 逢坂 せ べき はる すぎ なつ らし しに 白妙
2026-05-10 20:55:02,kore_harusu_20260510_205502.wav,kore,harusu,10,17.4%,あり えや これ やこ
2026-05-10 20:56:26,kore_harusu_20260510_205626.wav,kore,harusu,2,41.7%,しる もう しら もを 逢坂 せ べき はる すぎ なつ けり から らし 白妙 ろも ほさ 長月
2026-05-10 21:03:57,kore_harusu_20260510_210357.wav,kore,harusu,2,34.8%,しる もを もう しら 逢坂 のう せ べき はる 過ぎて すぎて なつ 長月 きに けら あし 白妙 ころも
2026-05-10 21:09:06,haruno_haruno_20260510_210906.wav,haruno,haruno,67,17.4%,春の日 春の 大江山 もよ ゆめ ばか あり なる たま 明くる 山桜
2026-05-11 21:05:23,nanisi_haruno_20260511_210523.wav,nanisi,haruno,67,17.4%,春の ゆめ ばか かり かりに なる
2026-05-11 21:06:28,nanisi_haruno_20260511_210628.wav,nanisi,haruno,67,19.6%,しら くる はる 春の日 はるの 春の ゆめ あま
2026-05-11 21:09:16,nanisji_haruno_20260511_210916.wav,nanisji,haruno,33,15.6%,にい しら はる 春の日 春の ゆめ たま 山桜
2026-05-11 21:10:23,nanishi_haruno_20260511_211023.wav,nanishi,haruno,33,11.1%,春の日 春の ゆめ たま
2026-05-11 21:11:42,nanishi_haruno_20260511_211142.wav,nanishi,haruno,67,19.6%,ひと しら くる はるの 春の ゆめ ばか かり たま 黒髪
2026-05-11 21:12:51,nanishi_harusu_20260511_211251.wav,nanishi,harusu,2,13.0%,ひと にい しら くる ある すぎ 長月 けら 白妙
2026-05-11 21:14:55,hitoha_asaborakea_20260511_211455.wav,hitoha,asaborakea,64,8.2%,かに あさ 宇治
2026-05-11 21:16:11,asaji_kimigatamewo_20260511_211611.wav,asaji,kimigatamewo,50,14.6%,きみ しから ざり ちい
2026-05-11 23:40:35,se_se_20260511_234035.wav,se,se,34,9.1%,折ら ころも ひとり かも にい にせ
2026-05-11 23:41:25,ooko_sa_20260511_234125.wav,ooko,sa,70,18.2%,ひと 恨み まし さびし さび しさ にい やど たち なが
